question_id,question_text,exam,paper,subject,chapter,topic,subtopic,difficulty,question_type,skip,skip_reason
Q_0_16,"If y = ln(sec x + tan x), what is dy/dx?",NDA,Mathematics,Differential Calculus,Differential Calculus (Maxima-Minima),Differentiation,Logarithmic and Trigonometric Differentiation,Medium,MCQ,FALSE,
Q_0_17,What is the value of cot 15°?,NDA,Mathematics,Trigonometric Functions,Trigonometric Functions,Trigonometric Ratios of Compound Angles,"Specific angle values (e.g., 15°, 75°)",Medium,MCQ,FALSE,
Q_0_18,"If A is a square matrix of order 3 and |A| = 4, then what is the value of |adj A|?",NDA,Mathematics,Matrices and Determinants,Matrices and Determinants,Determinants,Properties of Adjoint Matrix,Easy,MCQ,FALSE,
Q_0_19,What is the limit: lim(x→0) (e^x - e^-x) / sin x?,NDA,Mathematics,Calculus,"Limit, Continuity, Differentiability",Limits,Indeterminate Forms (L'Hopital's Rule),Medium,MCQ,FALSE,
Q_0_20,What is the projection of vector a = 2i + 3j + 2k on vector b = i + 2j + k?,NDA,Mathematics,Vectors,Vectors,Scalar Product of Vectors,Projection of a vector,Medium,MCQ,FALSE,
Q_0_21,The value of ∫[0 to π/2] sin³x / (sin³x + cos³x) dx is equal to:,NDA,Mathematics,Integral Calculus,Integral Calculus,Definite Integrals,Properties of Definite Integrals,Medium,MCQ,FALSE,
Q_0_22,"If tan⁻¹(x) + tan⁻¹(y) = π/4, then what is x + y + xy equal to?",NDA,Mathematics,Inverse Trigonometric Functions,Inverse Trigonometric Functions,Properties of Inverse Trigonometric Functions,Sum/Difference formulas,Medium,MCQ,FALSE,
Q_0_23,What is the degree of the differential equation: (d²y/dx²)³ + (dy/dx)² + sin(dy/dx) + 1 = 0?,NDA,Mathematics,Differential Equations,Differential Equations,Order and Degree of Differential Equations,Degree of a differential equation,Easy,MCQ,FALSE,
Q_0_24,"In how many ways can a committee of 5 members be formed from 6 gentlemen and 4 ladies, if it must contain at least 2 ladies?",NDA,Mathematics,Algebra,Sequences and Series,Permutations and Combinations,Combinations with conditions,Medium,MCQ,FALSE,
Q_0_25,Find the general solution of the differential equation dy/dx = y/x.,NDA,Mathematics,Differential Equations,Differential Equations,Solution of Differential Equations,Variable Separable Method,Easy,MCQ,FALSE,
Q_0_26,"If sin A = 3/5, where A lies in the second quadrant, what is the value of cos A?",NDA,Mathematics,Trigonometric Functions,Trigonometric Functions,Trigonometric Ratios,Quadrant rules and identities,Easy,MCQ,FALSE,
Q_0_27,What is the sum of the coefficients of the polynomial (1 - 3x + 3x²)¹⁰⁰?,NDA,Mathematics,Algebra,Complex Numbers and Quadratic Equations,Polynomials,Sum of coefficients of a polynomial,Easy,MCQ,FALSE,
Q_0_28,"If A and B are two events such that P(A) = 0.4, P(B) = 0.5 and P(A ∩ B) = 0.2, what is P(A|B) equal to?",NDA,Mathematics,Probability,Statistics and Probability,Conditional Probability,Basic probability theorems,Easy,MCQ,FALSE,
Q_0_29,What is the derivative of x^x with respect to x?,NDA,Mathematics,Differential Calculus,Differential Calculus (Maxima-Minima),Differentiation,Logarithmic Differentiation,Medium,MCQ,FALSE,
Q_0_30,What is the principal value of sin⁻¹(sin(2π/3))?,NDA,Mathematics,Trigonometry,Inverse Trigonometric Functions,Principal Value Branches,Evaluation of inverse trigonometric functions,Medium,MCQ,FALSE,
Q_0_31,"If y = ln(sec x + tan x), what is dy/dx?",NDA,Mathematics,Calculus,"Limit, Continuity, Differentiability",Differential Calculus,Differentiation of trigonometric and logarithmic functions,Medium,MCQ,FALSE,
Q_0_32,What is the value of cot 15°?,NDA,Mathematics,Trigonometry,Trigonometric Functions,Trigonometric Ratios,Values of trigonometric ratios for special angles,Medium,MCQ,FALSE,
Q_0_33,"If A is a square matrix of order 3 and |A| = 4, then what is the value of |adj A|?",NDA,Mathematics,Algebra,Matrices and Determinants,Determinants,Properties of adjoint and determinant,Easy,MCQ,FALSE,
Q_0_34,What is the limit: lim(x→0) (e^x - e^-x) / sin x?,NDA,Mathematics,Calculus,"Limit, Continuity, Differentiability",Limits,Evaluation of limits using L'Hopital's rule or standard forms,Medium,MCQ,FALSE,
Q_0_35,What is the projection of vector a = 2i + 3j + 2k on vector b = i + 2j + k?,NDA,Mathematics,Vectors,Vectors,Vector Operations,Scalar projection of a vector,Medium,MCQ,FALSE,
Q_0_36,The value of ∫[0 to π/2] sin³x / (sin³x + cos³x) dx is equal to:,NDA,Mathematics,Calculus,Integral Calculus,Definite Integrals,Properties of definite integrals,Medium,MCQ,FALSE,
Q_0_37,"If tan⁻¹(x) + tan⁻¹(y) = π/4, then what is x + y + xy equal to?",NDA,Mathematics,Trigonometry,Inverse Trigonometric Functions,Properties of Inverse Trigonometric Functions,Sum and difference formulas for inverse trigonometric functions,Medium,MCQ,FALSE,
Q_0_38,What is the degree of the differential equation: (d²y/dx²)³ + (dy/dx)² + sin(dy/dx) + 1 = 0?,NDA,Mathematics,Calculus,Differential Equations,Order and Degree of Differential Equations,Degree of differential equations with transcendental functions,Easy,MCQ,FALSE,
Q_0_39,"In how many ways can a committee of 5 members be formed from 6 gentlemen and 4 ladies, if it must contain at least 2 ladies?",NDA,Mathematics,Statistics and Probability,Statistics and Probability,Permutations and Combinations,Combinations with conditions,Medium,MCQ,FALSE,
Q_0_40,Find the general solution of the differential equation dy/dx = y/x.,NDA,Mathematics,Calculus,Differential Equations,Methods of Solving Differential Equations,Variable separable differential equations,Easy,MCQ,FALSE,
Q_0_41,"If sin A = 3/5, where A lies in the second quadrant, what is the value of cos A?",NDA,Mathematics,Trigonometry,Trigonometric Functions,Trigonometric Identities,Trigonometric ratios in different quadrants,Easy,MCQ,FALSE,
Q_0_42,What is the sum of the coefficients of the polynomial (1 - 3x + 3x²)¹⁰⁰?,NDA,Mathematics,Algebra,Complex Numbers and Quadratic Equations,Polynomials,Sum of coefficients of a polynomial,Easy,MCQ,FALSE,
Q_0_43,"If A and B are two events such that P(A) = 0.4, P(B) = 0.5 and P(A ∩ B) = 0.2, what is P(A|B) equal to?",NDA,Mathematics,Statistics and Probability,Statistics and Probability,Probability,Conditional Probability,Easy,MCQ,FALSE,
Q_0_44,What is the derivative of x^x with respect to x?,NDA,Mathematics,Calculus,"Limit, Continuity, Differentiability",Differential Calculus,Logarithmic Differentiation,Medium,MCQ,FALSE,
Q_0_45,What is the principal value of sin⁻¹(sin(2π/3))?,NDA,Mathematics,Trigonometry,Inverse Trigonometric Functions,Principal Value Branches,Evaluation of inverse trigonometric functions,Medium,MCQ,FALSE,
Q_0_46,"If y = ln(sec x + tan x), what is dy/dx?",NDA,Mathematics,Calculus,"Limit, Continuity, Differentiability",Differential Calculus,Differentiation of trigonometric and logarithmic functions,Medium,MCQ,FALSE,
Q_0_47,What is the value of cot 15°?,NDA,Mathematics,Trigonometry,Trigonometric Functions,Trigonometric Ratios,Values of trigonometric ratios for special angles,Medium,MCQ,FALSE,
Q_0_48,"If A is a square matrix of order 3 and |A| = 4, then what is the value of |adj A|?",NDA,Mathematics,Algebra,Matrices and Determinants,Determinants,Properties of adjoint and determinant,Easy,MCQ,FALSE,
Q_0_49,What is the limit: lim(x→0) (e^x - e^-x) / sin x?,NDA,Mathematics,Calculus,"Limit, Continuity, Differentiability",Limits,Evaluation of limits using L'Hopital's rule or standard forms,Medium,MCQ,FALSE,
Q_0_50,What is the projection of vector a = 2i + 3j + 2k on vector b = i + 2j + k?,NDA,Mathematics,Vectors,Vectors,Vector Operations,Scalar projection of a vector,Medium,MCQ,FALSE,
Q_0_51,The value of ∫[0 to π/2] sin³x / (sin³x + cos³x) dx is equal to:,NDA,Mathematics,Calculus,Integral Calculus,Definite Integrals,Properties of definite integrals,Medium,MCQ,FALSE,
Q_0_52,"If tan⁻¹(x) + tan⁻¹(y) = π/4, then what is x + y + xy equal to?",NDA,Mathematics,Trigonometry,Inverse Trigonometric Functions,Properties of Inverse Trigonometric Functions,Sum and difference formulas for inverse trigonometric functions,Medium,MCQ,FALSE,
Q_0_53,What is the degree of the differential equation: (d²y/dx²)³ + (dy/dx)² + sin(dy/dx) + 1 = 0?,NDA,Mathematics,Calculus,Differential Equations,Order and Degree of Differential Equations,Degree of differential equations with transcendental functions,Easy,MCQ,FALSE,
Q_0_54,"In how many ways can a committee of 5 members be formed from 6 gentlemen and 4 ladies, if it must contain at least 2 ladies?",NDA,Mathematics,Statistics and Probability,Statistics and Probability,Permutations and Combinations,Combinations with conditions,Medium,MCQ,FALSE,
Q_0_55,Find the general solution of the differential equation dy/dx = y/x.,NDA,Mathematics,Calculus,Differential Equations,Methods of Solving Differential Equations,Variable separable differential equations,Easy,MCQ,FALSE,
Q_0_56,"If sin A = 3/5, where A lies in the second quadrant, what is the value of cos A?",NDA,Mathematics,Trigonometry,Trigonometric Functions,Trigonometric Identities,Trigonometric ratios in different quadrants,Easy,MCQ,FALSE,
Q_0_57,What is the sum of the coefficients of the polynomial (1 - 3x + 3x²)¹⁰⁰?,NDA,Mathematics,Algebra,Complex Numbers and Quadratic Equations,Polynomials,Sum of coefficients of a polynomial,Easy,MCQ,FALSE,
Q_0_58,"If A and B are two events such that P(A) = 0.4, P(B) = 0.5 and P(A ∩ B) = 0.2, what is P(A|B) equal to?",NDA,Mathematics,Statistics and Probability,Statistics and Probability,Probability,Conditional Probability,Easy,MCQ,FALSE,
Q_0_59,What is the derivative of x^x with respect to x?,NDA,Mathematics,Calculus,"Limit, Continuity, Differentiability",Differential Calculus,Logarithmic Differentiation,Medium,MCQ,FALSE,
Q_0_60,What is the principal value of sin⁻¹(sin(2π/3))?,NDA,Mathematics,Mathematics,Inverse Trigonometric Functions,Principal Values,Inverse sine function,Easy,MCQ,FALSE,
Q_0_61,"If y = ln(sec x + tan x), what is dy/dx?",NDA,Mathematics,Mathematics,Differential Calculus (Maxima-Minima),Differentiation,Differentiation of Logarithmic Functions,Medium,MCQ,FALSE,
Q_0_62,What is the value of cot 15°?,NDA,Mathematics,Mathematics,Trigonometric Functions,Trigonometric Ratios of Specific Angles,Compound angle formulas,Easy,MCQ,FALSE,
Q_0_63,"If A is a square matrix of order 3 and |A| = 4, then what is the value of |adj A|?",NDA,Mathematics,Mathematics,Matrices and Determinants,Adjoint and Inverse of a Matrix,Properties of determinants,Easy,MCQ,FALSE,
Q_0_64,What is the limit: lim(x→0) (e^x - e^-x) / sin x?,NDA,Mathematics,Mathematics,"Limit, Continuity, Differentiability",Limits,Indeterminate forms (L'Hopital's Rule),Medium,MCQ,FALSE,
Q_0_65,What is the projection of vector a = 2i + 3j + 2k on vector b = i + 2j + k?,NDA,Mathematics,Mathematics,Vectors,Scalar and Vector Products,Projection of a vector,Medium,MCQ,FALSE,
Q_0_66,The value of ∫[0 to π/2] sin³x / (sin³x + cos³x) dx is equal to:,NDA,Mathematics,Mathematics,Integral Calculus,Definite Integrals,Properties of definite integrals,Medium,MCQ,FALSE,
Q_0_67,"If tan⁻¹(x) + tan⁻¹(y) = π/4, then what is x + y + xy equal to?",NDA,Mathematics,Mathematics,Inverse Trigonometric Functions,Properties of Inverse Trigonometric Functions,Sum of inverse tangents,Easy,MCQ,FALSE,
Q_0_68,What is the degree of the differential equation: (d²y/dx²)³ + (dy/dx)² + sin(dy/dx) + 1 = 0?,NDA,Mathematics,Mathematics,Differential Equations,Order and Degree of Differential Equations,Degree of a non-polynomial differential equation,Medium,MCQ,FALSE,
Q_0_69,"In how many ways can a committee of 5 members be formed from 6 gentlemen and 4 ladies, if it must contain at least 2 ladies?",NDA,Mathematics,Mathematics,Statistics and Probability,Combinations,Combinations with conditions,Medium,MCQ,FALSE,
Q_0_70,Find the general solution of the differential equation dy/dx = y/x.,NDA,Mathematics,Mathematics,Differential Equations,Solving Differential Equations,Variable separable method,Easy,MCQ,FALSE,
Q_0_71,"If sin A = 3/5, where A lies in the second quadrant, what is the value of cos A?",NDA,Mathematics,Mathematics,Trigonometric Functions,Trigonometric Identities,Quadrant rules,Easy,MCQ,FALSE,
Q_0_72,What is the sum of the coefficients of the polynomial (1 - 3x + 3x²)¹⁰⁰?,NDA,Mathematics,Mathematics,Complex Numbers and Quadratic Equations,Polynomials,Sum of coefficients,Easy,MCQ,FALSE,
Q_0_73,"If A and B are two events such that P(A) = 0.4, P(B) = 0.5 and P(A ∩ B) = 0.2, what is P(A|B) equal to?",NDA,Mathematics,Mathematics,Statistics and Probability,Probability,Conditional probability,Easy,MCQ,FALSE,
Q_0_74,What is the derivative of x^x with respect to x?,NDA,Mathematics,Mathematics,Differential Calculus (Maxima-Minima),Differentiation,Logarithmic differentiation,Medium,MCQ,FALSE,
Q_0_75,What is the principal value of sin⁻¹(sin(2π/3))?,NDA,Mathematics,Mathematics,Inverse Trigonometric Functions,Principal Values,Inverse sine function,Easy,MCQ,FALSE,
Q_0_76,"If y = ln(sec x + tan x), what is dy/dx?",NDA,Mathematics,Mathematics,Differential Calculus (Maxima-Minima),Differentiation,Differentiation of Logarithmic Functions,Medium,MCQ,FALSE,
Q_0_77,What is the value of cot 15°?,NDA,Mathematics,Mathematics,Trigonometric Functions,Trigonometric Ratios of Specific Angles,Compound angle formulas,Easy,MCQ,FALSE,
Q_0_78,"If A is a square matrix of order 3 and |A| = 4, then what is the value of |adj A|?",NDA,Mathematics,Mathematics,Matrices and Determinants,Adjoint and Inverse of a Matrix,Properties of determinants,Easy,MCQ,FALSE,
Q_0_79,What is the limit: lim(x→0) (e^x - e^-x) / sin x?,NDA,Mathematics,Mathematics,"Limit, Continuity, Differentiability",Limits,Indeterminate forms (L'Hopital's Rule),Medium,MCQ,FALSE,
Q_0_80,What is the projection of vector a = 2i + 3j + 2k on vector b = i + 2j + k?,NDA,Mathematics,Mathematics,Vectors,Scalar and Vector Products,Projection of a vector,Medium,MCQ,FALSE,
Q_0_81,The value of ∫[0 to π/2] sin³x / (sin³x + cos³x) dx is equal to:,NDA,Mathematics,Mathematics,Integral Calculus,Definite Integrals,Properties of definite integrals,Medium,MCQ,FALSE,
Q_0_82,"If tan⁻¹(x) + tan⁻¹(y) = π/4, then what is x + y + xy equal to?",NDA,Mathematics,Mathematics,Inverse Trigonometric Functions,Properties of Inverse Trigonometric Functions,Sum of inverse tangents,Easy,MCQ,FALSE,
Q_0_83,What is the degree of the differential equation: (d²y/dx²)³ + (dy/dx)² + sin(dy/dx) + 1 = 0?,NDA,Mathematics,Mathematics,Differential Equations,Order and Degree of Differential Equations,Degree of a non-polynomial differential equation,Medium,MCQ,FALSE,
Q_0_84,"In how many ways can a committee of 5 members be formed from 6 gentlemen and 4 ladies, if it must contain at least 2 ladies?",NDA,Mathematics,Mathematics,Statistics and Probability,Combinations,Combinations with conditions,Medium,MCQ,FALSE,
Q_0_85,Find the general solution of the differential equation dy/dx = y/x.,NDA,Mathematics,Mathematics,Differential Equations,Solving Differential Equations,Variable separable method,Easy,MCQ,FALSE,
Q_0_86,"If sin A = 3/5, where A lies in the second quadrant, what is the value of cos A?",NDA,Mathematics,Mathematics,Trigonometric Functions,Trigonometric Identities,Quadrant rules,Easy,MCQ,FALSE,
Q_0_87,What is the sum of the coefficients of the polynomial (1 - 3x + 3x²)¹⁰⁰?,NDA,Mathematics,Mathematics,Complex Numbers and Quadratic Equations,Polynomials,Sum of coefficients,Easy,MCQ,FALSE,
Q_0_88,"If A and B are two events such that P(A) = 0.4, P(B) = 0.5 and P(A ∩ B) = 0.2, what is P(A|B) equal to?",NDA,Mathematics,Mathematics,Statistics and Probability,Probability,Conditional probability,Easy,MCQ,FALSE,
Q_0_89,What is the derivative of x^x with respect to x?,NDA,Mathematics,Mathematics,Differential Calculus (Maxima-Minima),Differentiation,Logarithmic differentiation,Medium,MCQ,FALSE,
Q_0_90,What is the principal value of sin⁻¹(sin(2π/3))?,NDA,Mathematics,Trigonometry,Inverse Trigonometric Functions,Principal Values of Inverse Trigonometric Functions,,Medium,MCQ,FALSE,
Q_0_91,"If y = ln(sec x + tan x), what is dy/dx?",NDA,Mathematics,Calculus,Differential Calculus,Derivatives of Logarithmic and Trigonometric Functions,Chain Rule,Medium,MCQ,FALSE,
Q_0_92,What is the value of cot 15°?,NDA,Mathematics,Trigonometry,Trigonometric Functions,Trigonometric Ratios of Compound Angles,Special Angles,Easy,MCQ,FALSE,
Q_0_93,"If A is a square matrix of order 3 and |A| = 4, then what is the value of |adj A|?",NDA,Mathematics,Algebra,Matrices and Determinants,Determinant of Adjoint Matrix,,Easy,MCQ,FALSE,
Q_0_94,What is the limit: lim(x→0) (e^x - e^-x) / sin x?,NDA,Mathematics,Calculus,"Limit, Continuity, Differentiability",Limits,L'Hopital's Rule,Medium,MCQ,FALSE,
Q_0_95,What is the projection of vector a = 2i + 3j + 2k on vector b = i + 2j + k?,NDA,Mathematics,Vectors,Vectors,Projection of a Vector,,Medium,MCQ,FALSE,
Q_0_96,The value of ∫[0 to π/2] sin³x / (sin³x + cos³x) dx is equal to:,NDA,Mathematics,Calculus,Integral Calculus,Definite Integrals,Properties of Definite Integrals,Medium,MCQ,FALSE,
Q_0_97,"If tan⁻¹(x) + tan⁻¹(y) = π/4, then what is x + y + xy equal to?",NDA,Mathematics,Trigonometry,Inverse Trigonometric Functions,Properties of Inverse Trigonometric Functions,Sum and Difference Formulas,Medium,MCQ,FALSE,
Q_0_98,What is the degree of the differential equation: (d²y/dx²)³ + (dy/dx)² + sin(dy/dx) + 1 = 0?,NDA,Mathematics,Calculus,Differential Equations,Order and Degree of Differential Equations,,Easy,MCQ,FALSE,
Q_0_99,"In how many ways can a committee of 5 members be formed from 6 gentlemen and 4 ladies, if it must contain at least 2 ladies?",NDA,Mathematics,Probability & Statistics,Statistics and Probability,Combinations,Committee Formation with Conditions,Medium,MCQ,FALSE,
Q_1_0,"If α and β are the roots of the equation x^2 - x + 1 = 0, then what is the value of α^2024 + β^2024?",NDA,Mathematics,Algebra,Complex Numbers and Quadratic Equations,Roots of Quadratic Equations,Powers of Complex Roots,Hard,MCQ,FALSE,
Q_1_1,"Consider the matrix A = [[cos θ, -sin θ], [sin θ, cos θ]]. Which of the following statements is/are correct? 1. A^n = [[cos nθ, -sin nθ], [sin nθ, cos nθ]] for all n ∈ N. 2. det(A^n) = 1 for all n ∈ N.",NDA,Mathematics,Algebra,Matrices and Determinants,Powers of Matrices,Rotation Matrices and Determinants,Medium,MCQ,FALSE,
Q_1_2,The value of the integral ∫[0 to π/2] (sin^n x) / (sin^n x + cos^n x) dx is:,NDA,Mathematics,Calculus,Integral Calculus,Definite Integrals,Properties of Definite Integrals,Medium,MCQ,FALSE,
Q_1_3,"A line passes through the point (2, 3) and makes an angle of 135° with the positive x-axis. What is the equation of the line?",NDA,Mathematics,Geometry,Two Dimensional Geometry,Straight Lines,Equation of a Line (Point-Slope Form),Easy,MCQ,FALSE,
Q_1_4,"If a vector a is perpendicular to both vectors b = i + j + k and c = i - j + k, then what is the direction of a?",NDA,Mathematics,Vectors,Vectors,Cross Product of Vectors,Perpendicular Vectors,Medium,MCQ,FALSE,
Q_1_5,The number of ways to arrange the letters of the word 'MATHEMATICS' such that the vowels are always together is:,NDA,Mathematics,Probability & Statistics,Statistics and Probability,Permutations and Combinations,Arrangements with Repetition and Restrictions,Medium,MCQ,FALSE,
Q_1_6,Let f(x) = |x - 1|. Which of the following is true?,NDA,Mathematics,Calculus,"Limit, Continuity, Differentiability",Continuity and Differentiability,Absolute Value Functions,Easy,MCQ,FALSE,
Q_1_7,"If the probability of hitting a target is 0.25, how many shots must be fired so that the probability of hitting the target at least once is greater than 0.9?",NDA,Mathematics,Probability & Statistics,Statistics and Probability,Probability of Events,Complementary Probability,Medium,MCQ,FALSE,
Q_1_8,"The equation of the circle passing through (0, 0), (2, 0), and (0, 2) is:",NDA,Mathematics,Geometry,Two Dimensional Geometry,Circles,Equation of a Circle Passing Through Three Points,Medium,MCQ,FALSE,
Q_1_9,What is the domain of the function f(x) = sqrt(1 - sqrt(1 - x^2))?,NDA,Mathematics,"Sets, Relations, Functions","Sets, Relations, Functions",Domain of a Function,Functions with Square Roots,Medium,MCQ,FALSE,
Q_1_10,"If α and β are the roots of the equation x^2 - px + q = 0, what is the value of α^2/β + β^2/α?",NDA,Mathematics,Algebra,Complex Numbers and Quadratic Equations,Roots of Quadratic Equations,Symmetric Functions of Roots,Medium,MCQ,FALSE,
Q_1_11,"Consider the matrix A = [[cosθ, sinθ], [-sinθ, cosθ]]. Which of the following is true for A^n (n is a positive integer)?",NDA,Mathematics,Algebra,Matrices and Determinants,Powers of Matrices,Rotation Matrices,Medium,MCQ,FALSE,
Q_1_12,"If sinθ + cosecθ = 2, then the value of sin^nθ + cosec^nθ is:",NDA,Mathematics,Trigonometry,Trigonometric Functions,Trigonometric Identities and Equations,,Easy,MCQ,FALSE,
Q_1_13,"The equation of the circle passing through (1, 0) and (0, 1) and having the smallest possible radius is:",NDA,Mathematics,Geometry,Two Dimensional Geometry,Circles,Equation of a Circle with Smallest Radius,Medium,MCQ,FALSE,
Q_1_14,Evaluate the integral ∫[0 to π/2] log(tan x) dx:,NDA,Mathematics,Calculus,Integral Calculus,Definite Integrals,Properties of Definite Integrals,Medium,MCQ,FALSE,
Q_1_15,"If vectors a = i + j + k and b = i + 2j + 3k are given, find the projection of vector a on vector b:",NDA,Mathematics,Vectors,Vectors,Projection of a Vector,,Medium,MCQ,FALSE,
Q_1_16,What is the probability of drawing a red king or a black ace from a standard deck of 52 cards?,NDA,Mathematics,Probability & Statistics,Statistics and Probability,Probability of Events,Playing Cards,Easy,MCQ,FALSE,
Q_1_17,Consider the function f(x) = |x-1|. Which of the following is correct?,NDA,Mathematics,Calculus,"Limit, Continuity, Differentiability",Continuity and Differentiability,Absolute Value Functions,Easy,MCQ,FALSE,
Q_1_18,Find the derivative of f(x) = x^x with respect to x:,NDA,Mathematics,Calculus,Differential Calculus,Logarithmic Differentiation,,Medium,MCQ,FALSE,
Q_1_19,Which of the following lines is parallel to the plane 2x - y + 3z + 5 = 0?,NDA,Mathematics,Geometry,Three Dimensional Geometry,Lines and Planes,Parallel Line and Plane,Medium,MCQ,FALSE,
Q_1_20,"If alpha and beta are the roots of x^2 - x + 1 = 0, then what is the value of alpha^2024 + beta^2024?",NDA,Mathematics,Algebra,Complex Numbers and Quadratic Equations,Quadratic Equations,"Roots and their properties (e.g., cube roots of unity)",Medium,MCQ,FALSE,
Q_1_21,"If the matrix A = [[1, 2], [x, 1]] is singular, then the value of x is:",NDA,Mathematics,Algebra,Matrices and Determinants,Determinants,Singular Matrix,Easy,MCQ,FALSE,
Q_1_22,Consider the following statements regarding the function f(x) = |x-1| + |x-2|: 1. The function is continuou,NDA,Mathematics,Calculus,"Limit, Continuity, Differentiability",Continuity and Differentiability,Absolute value functions,Medium,MCQ,FALSE,
Q_1_23,The angle between the lines x + y = 3 and x - y = 5 is:,NDA,Mathematics,Coordinate Geometry,Two Dimensional Geometry,Straight Lines,Angle between two lines,Easy,MCQ,FALSE,
Q_1_24,Evaluate the integral integral(0 to pi/2) [sin^n(x) / (sin^n(x) + cos^n(x))] dx.,NDA,Mathematics,Calculus,Integral Calculus,Definite Integrals,Properties of definite integrals,Medium,MCQ,FALSE,
Q_1_25,Find the length of the projection of vector a = i + 2j + k on vector b = 2i + j - 2k.,NDA,Mathematics,Vector Algebra,Vectors,Scalar Product (Dot Product),Projection of a vector,Easy,MCQ,FALSE,
Q_1_26,"If P(A) = 0.4, P(B) = 0.3, and P(A intersection B) = 0.1, what is P(A' intersection B')?",NDA,Mathematics,Probability,Statistics and Probability,Probability,Set theory in probability (De Morgan's Law),Medium,MCQ,FALSE,
Q_1_27,"If sin(theta) + cos(theta) = sqrt(2), what is the value of sin(theta)cos(theta)?",NDA,Mathematics,Trigonometry,Trigonometric Functions,Trigonometric Identities,Basic identities,Easy,MCQ,FALSE,
Q_1_28,"The equation of the circle passing through (0,0), (2,0), and (0,2) is:",NDA,Mathematics,Coordinate Geometry,Two Dimensional Geometry,Circles,Equation of a circle through three points,Medium,MCQ,FALSE,
Q_1_29,What is the degree of the differential equation d^2y/dx^2 = [1 + (dy/dx)^2]^3/2?,NDA,Mathematics,Calculus,Differential Equations,Order and Degree of Differential Equations,Definition of degree,Easy,MCQ,FALSE,
