ID,Action,Question,Options
15,KEEP,"Which one of the following statements about biodiversity is not correct?","A. The term 'biodiversity' was coined by Walter G. Rosen in 1986.   |   B. The term 'biodiversity hotspots' was coined by Norman Myers in 1988.   |   C. The regions having richest biodiversity are called 'biodiversity hotspots'.   |   D. More than 100 hotspots of biodiversity are identified in the world."
16,KEEP,"The Earth's atmosphere is mainly heated by which one of the following?","A. Short wave solar radiation   |   B. Reflected solar radiation   |   C. Long wave terrestrial radiation   |   D. Scattered solar radiation"
17,KEEP,"Which one of the following is the correct sequence of layers as we move from the Earth's surface upwards?","A. Troposphere, Stratosphere, Thermosphere, Mesosphere   |   B. Troposphere, Stratosphere, Mesosphere, Thermosphere   |   C. Thermosphere, Mesosphere, Stratosphere, Troposphere   |   D. Stratosphere, Mesosphere, Troposphere, Thermosphere"
18,KEEP,"Which one of the following is not a soil forming factor?","A. Parent material   |   B. Topography   |   C. Climate   |   D. Human habitation"
19,KEEP,"Which one of the following best describes the Lithosphere?","A. Upper and lower mantle   |   B. Crust and core   |   C. Crust and upper mantle   |   D. Lower mantle and core"
20,KEEP,"Which one of the following countries has the maximum time difference from Greenwich Mean Time (GMT)?","A. India   |   B. Nepal   |   C. Sri Lanka   |   D. Bhutan"
21,KEEP,"Which one of the following is not a feature of the Constitution of India?","A. It provides a set of basic rules.   |   B. It specifies the power of the Government.   |   C. It is the supreme law of the land.   |   D. It specifies the supremacy of the judiciary."
22,KEEP,"Which one of the following statements about the Attorney General of India is not correct?","A. He has the right of audience only in the Supreme Court of India.   |   B. He shall receive such remuneration as the President may determine.   |   C. He shall be qualified to be appointed as a Judge of the Supreme Court.   |   D. He shall give advice to the Government of India on all legal matters."
23,KEEP,"Who among the following described the Directive Principles of State Policy as the novel feature of the Constitution of India?","A. Jawaharlal Nehru   |   B. Rajendra Prasad   |   C. S.N. Mukherjee   |   D. B.R. Ambedkar"
24,KEEP,"Which of the following statements about the Indian Councils Act of 1861 is/are correct? 1. It enlarged the Governor General's Council for the purpose of making laws. 2. The Governor General was not authorised to increase the number of members.","A. 1 only   |   B. 2 only   |   C. Both 1 and 2   |   D. Neither 1 nor 2"
25,KEEP,"Which one of the following statements about Tattvabodhini Patrika is correct?","A. It promoted a systematic study of India's past in the Bengali language.   |   B. It promoted a systematic study of India's past through Sanskrit sources.   |   C. It promoted a systematic study of India's past through Persian sources.   |   D. It promoted a systematic study of India's past through Western sources."
26,KEEP,"In which one of the following years did the British demarcate a large area of land as Damin-i-koh for settling the Santhals?","A. 1810   |   B. 1793   |   C. 1885   |   D. 1832"
27,KEEP,"The Tropic of Cancer does not pass through which one of the following States?","A. Manipur   |   B. West Bengal   |   C. Gujarat   |   D. Jharkhand"
28,KEEP,"Which one of the following pairs of crop and product is/are correctly matched? 1. Food crop : Ragi 2. Cash crop : Jute 3. Plantation crop : Coconut","A. 1 only   |   B. 2 and 3 only   |   C. 1, 2 and 3   |   D. 3 only"
29,KEEP,"Which one of the following coalfields is not located in Jharkhand?","A. Jharia   |   B. Ramgarh   |   C. Deogarh   |   D. Umaria"
30,KEEP,"Which one of the following is the longest parallel of latitude?","A. Tropic of Cancer   |   B. Tropic of Capricorn   |   C. Arctic Circle   |   D. Equator"
31,KEEP,"The periodic rise and fall of ocean water in response to gravitational forces is called","A. Current   |   B. Waves   |   C. Tides   |   D. Tsunami"
32,KEEP,"Which of the following statements about the first Indian Factory Act passed in 1881 is/are correct? 1. The Act dealt primarily with the problem of child labour. 2. The Act laid down that children between 7 years and 12 years of age would not work for more than 9 hours a day.","A. 1 only   |   B. 2 only   |   C. Both 1 and 2   |   D. Neither 1 nor 2"
33,KEEP,"Which of the following statements about Mahatma Gandhi's anti-untouchability campaign is/are correct? 1. The All India Harijan Sevak Sangh was founded for this purpose. 2. The campaign was to root out untouchability, since it did not enjoy the sanction of the Hindu shastras.","A. 1 only   |   B. 2 only   |   C. Both 1 and 2   |   D. Neither 1 nor 2"
34,KEEP,"The founders of the Paramhansa Mandali founded in Maharashtra believed in which one of the following?","A. Social distancing along caste lines   |   B. Glorification of caste system   |   C. Forbidding widow remarriage   |   D. One God and in breaking caste rules"
35,KEEP,"Which one of the following statements about the ishtahars issued during the Revolt of 1857 is correct?","A. They glorified the Muslim rule in India.   |   B. They glorified the co-existence of different communities under the Mughal Empire.   |   C. They glorified the message of Islam.   |   D. They glorified the role of Queen Victoria."
36,KEEP,"During the Industrial Revolution, who among the following designed the 'flying shuttle loom'?","A. Samuel Crompton   |   B. Edmund Cartwright   |   C. John Kay   |   D. Richard Arkwright"
37,KEEP,"Match List I with List II and select the correct answer using the code given below the lists: List I (Dam) - List II (State) A. Hirakud - 1. Gujarat B. Panchet - 2. Bihar C. Kosi - 3. Odisha D. Ukai - 4. Jharkhand","A. A-3, B-4, C-2, D-1   |   B. A-3, B-2, C-4, D-1   |   C. A-1, B-2, C-4, D-3   |   D. A-1, B-4, C-2, D-3"
38,KEEP,"Which one of the following features is the result of erosion and deposition work of a river?","A. Pothole   |   B. Oxbow lake   |   C. Levee   |   D. Rapid"
39,KEEP,"Which one of the following is not a feature of agriculture in India?","A. Subsistence agriculture   |   B. Pressure of population on agriculture   |   C. Dependence upon Monsoon   |   D. Predominance of cash crops"
40,KEEP,"Which one of the following is not a specified Sub-Mission of the National Livestock Mission?","A. Livestock development   |   B. Pig development in north-western region   |   C. Fodder and feed development   |   D. Skill development, technology transfer and extension"
41,KEEP,"Who among the following wrote the famous text 'A Discourse on Political Economy'?","A. Montesquieu   |   B. Voltaire   |   C. Rousseau   |   D. Adam Smith"
42,KEEP,"Which of the following statements about the resolution adopted in the Karachi session of the Indian National Congress with regard to fundamental rights and economic policy is/are correct? 1. It was opposed by Ambalal Sarabhai. 2. Its 20 points included demands for civil liberties and adult suffrage.","A. 1 only   |   B. 2 only   |   C. Both 1 and 2   |   D. Neither 1 nor 2"
43,KEEP,"Which of the following statements about the Law Commission headed by Lord Macaulay is/are correct? 1. It attempted to codify the laws. 2. It was opposed to uniform system of Courts.","A. 1 only   |   B. 2 only   |   C. Both 1 and 2   |   D. Neither 1 nor 2"
44,KEEP,"The pH value of Milk of Magnesia is approximately","A. Zero   |   B. 7   |   C. 10   |   D. 14"
45,KEEP,"Which one of the following compounds is used in 'black and white' photography?","A. AgF   |   B. AgBr   |   C. AgCl   |   D. Ag2SO4"
46,KEEP,"What is the number of water molecules present in a Ferrous Sulphate crystal?","A. 1   |   B. 3   |   C. 5   |   D. 7"
47,KEEP,"What is the colour of the precipitate obtained by passing CO2 gas through lime water?","A. Green   |   B. Blue   |   C. White   |   D. Brown"
48,KEEP,"Which one of the following pairs of elements is liquid at room temperature and at normal pressure?","A. Gallium and Bromine   |   B. Mercury and Bromine   |   C. Gallium and Mercury   |   D. Gallium and Caesium"
49,KEEP,"Which one of the following methods can be used to separate anthracene from a mixture of salt and anthracene?","A. Distillation   |   B. Sublimation   |   C. Evaporation   |   D. Chromatography"
50,KEEP,"Shoots of plant show upward movement and it can be designated to be","A. Negatively phototropic   |   B. Positively chemotropic   |   C. Positively hydrotropic   |   D. Negatively geotropic"
51,KEEP,"Which one of the following statements about the process of photosynthesis is correct?","A. Chemical energy is converted into light energy.   |   B. Carbon dioxide is oxidised to form carbohydrate.   |   C. Water molecule splits into hydrogen and oxygen.   |   D. Light energy is directly used to split water."
52,KEEP,"How are evergreen plants with woody stems having naked seed classified?","A. Angiosperms   |   B. Monocotyledons   |   C. Pteridophytes   |   D. Gymnosperms"
53,KEEP,"Which one of the following tissues is known as basic packing tissue and found in xylem and phloem?","A. Collenchyma   |   B. Parenchyma   |   C. Sclerenchyma   |   D. Vessels"
54,KEEP,"Girth of stem of a plant increases due to division of cells in","A. apical meristem only.   |   B. lateral meristem only.   |   C. apical and intercalary meristem.   |   D. both apical and lateral meristem."
55,KEEP,"Different varieties of the same gene are called","A. Genotypes   |   B. Sib pairs   |   C. Alleles   |   D. Isomers"
56,KEEP,"Which one of the following viruses used to be responsible for highly infectious disease Smallpox?","A. Adenovirus   |   B. Variola virus   |   C. Aichi virus   |   D. Coxsackie virus"
57,KEEP,"Buoyancy is a/an","A. upward pressure   |   B. downward pressure   |   C. downward force   |   D. upward force"
58,KEEP,"Weight and mass of an object are defined with Newton's laws of motion. Which among the following is true?","A. Weight is a constant of proportionality.   |   B. Mass is a constant of proportionality.   |   C. Mass is not a constant of proportionality.   |   D. Weight is a universal constant."
59,KEEP,"Fundamental laws of physics require","A. conservation of energy and non-conservation of charge.   |   B. conservation of charge and non-conservation of linear momentum.   |   C. conservation of charge and non-conservation of energy.   |   D. conservation of energy, momentum and charge."
60,KEEP,"Work is said to be one Joule when a force of","A. 4 N moves an object by 25 cm.   |   B. 2 N moves an object by 1 m.   |   C. 1 N moves an object by 1 cm.   |   D. 1 N moves an object by 50 cm."
61,KEEP,"A uniform motion of a car along a circular path experiences","A. a change in speed due to a change in its direction of motion.   |   B. a change in velocity due to a change in its direction of motion.   |   C. a change in momentum due to no change in its direction of motion.   |   D. a constant momentum due to a change in its direction of motion."
62,KEEP,"Three equal resistors are connected in parallel configuration in a closed electrical circuit. Then the total resistance in the circuit becomes","A. one-third of the individual resistance.   |   B. two-third of the individual resistance.   |   C. equal to the individual resistance.   |   D. three times of the individual resistance."
63,KEEP,"Rutherford's alpha-particle (α) scattering experiment was responsible for the discovery of which one of the following?","A. Electron   |   B. Proton   |   C. Atomic Nucleus   |   D. Neutron"
64,KEEP,"What is the maximum number of electrons in the M-Shell?","A. 6   |   B. 8   |   C. 18   |   D. 32"
65,KEEP,"Chlorine occurs in nature in two isotopic forms of masses 35 u and 37 u in the ratio of 3 : 1 respectively. What is the average atomic mass of the Chlorine atom?","A. 36.1 u   |   B. 35.5 u   |   C. 36.5 u   |   D. 35.1 u"
66,KEEP,"Which one of the following elements' isotopes is used in the treatment of cancer?","A. Iodine   |   B. Sodium   |   C. Cobalt   |   D. Uranium"
67,KEEP,"To protect steel and iron from rusting, a thin layer of which one of the following metals is applied?","A. Magnesium   |   B. Zinc   |   C. Aluminium   |   D. Lead"
68,KEEP,"Cinnabar is an ore of which one of the following?","A. Copper   |   B. Zinc   |   C. Mercury   |   D. Manganese"
69,KEEP,"Imagine a current-carrying straight conductor with magnetic field of lines in anti-clockwise direction. Then the direction of current is determined by","A. the Right-Hand Thumb rule and it would be in the downward direction.   |   B. the Left-Hand Thumb rule and it would be in the downward direction.   |   C. the Right-Hand Thumb rule and it would be in the upward direction.   |   D. the Left-Hand Thumb rule and it would be in the upward direction."
70,KEEP,"The device used to produce electric current is known as","A. motor   |   B. generator   |   C. ammeter   |   D. galvanometer"
71,KEEP,"Myopia is a defect in human vision where an image of a","A. nearby object is focused beyond the retina.   |   B. nearby object is focused before the retina.   |   C. distant object is focused before the retina.   |   D. distant object is focused beyond the retina."
72,KEEP,"Tyndall effect is a phenomenon of","A. scattering of light by the colloidal particles.   |   B. refraction of light by the colloidal particles.   |   C. dispersion of light by dust particles.   |   D. refraction of light by dust particles."
73,KEEP,"Twinkling of stars is primarily due to the atmospheric","A. refraction   |   B. reflection   |   C. polarization   |   D. dispersion"
74,KEEP,"Consider the following statements about Light year: 1. Light year is a unit for measurement of very large distances. 2. Light year is a unit for measurement of very large time intervals. 3. Light year is a unit for measurement of intensity of light. Which of the statements given above is/are correct?","A. 1, 2 and 3   |   B. 2 and 3 only   |   C. 1 and 2 only   |   D. 1 only"
75,KEEP,"Which one of the following regarding density of water at atmospheric pressure is correct?","A. Density of water at 4°C is 1000 kg/m³.   |   B. Density of water at 0°C is 1000 kg/m³.   |   C. Density of water at 0°C is 100 kg/m³.   |   D. Density of water at 4°C is 10 kg/m³."
76,KEEP,"Which one of the following pairs of physical phenomenon and the discoverer is/are correctly matched? 1. James Chadwick : Photoelectric effect 2. Albert Einstein : Neutron 3. Marie Curie : Radium Select the correct answer using the code given below:","A. 1, 2 and 3   |   B. 1 and 2 only   |   C. 2 and 3 only   |   D. 3 only"
77,KEEP,"LED (a semi-conductor device) is an abbreviation that stands for","A. Licence for Energy Detector.   |   B. Light Energy Device.   |   C. Light Emitting Diode.   |   D. Lost Energy Detector."
78,KEEP,"The statement ""friction force is a contact force while magnetic force is a non-contact force"" is","A. always true.   |   B. true only at 0°C.   |   C. a false statement.   |   D. either true or false depending upon the temperature of the surroundings."
79,KEEP,"Which one of the following is the chemical formula of Hypobromous acid?","A. HBrO₄   |   B. HOBr   |   C. HBr   |   D. HBrO₃"
80,KEEP,"The composition of gases in exosphere is","A. Helium and Hydrogen.   |   B. Neon and Oxygen.   |   C. Neon and Hydrogen.   |   D. Helium and Neon."
81,KEEP,"Which one of the following is not used as a raw material in the manufacture of glass?","A. Soda   |   B. Alumina   |   C. Borax   |   D. Gypsum"
82,KEEP,"In electrolytic refining of copper, the electrolyte is a solution of","A. acidified copper chloride.   |   B. acidified copper sulphate.   |   C. potassium chloride.   |   D. sodium sulphate."
83,KEEP,"Solder is an alloy of","A. Cu and Sn.   |   B. Fe and Zn.   |   C. Pb and Sn.   |   D. Ag and Zn."
84,KEEP,"Which one of the following statements about dihydrogen (H₂) is not correct?","A. H₂ is lighter than air and insoluble in water.   |   B. H₂ is inert at room temperature due to high H-H bond dissociation enthalpy.   |   C. H₂ reacts with alkali metals at high temperature to yield metal hydrides.   |   D. A mixture of NO₂ and H₂ is known as Syngas."
85,KEEP,"Which one of the following sets of elements has the same valency?","A. Na, Mg, Ca   |   B. Na, Mg, Al   |   C. Mg, Ca, K   |   D. Mg, Ca, Ba"
86,KEEP,"Which one of the following is the lowest possible temperature?","A. 0° Celsius   |   B. -073° Celsius   |   C. -173° Celsius   |   D. -273° Celsius"
87,KEEP,"Numerically two thermometers, one in Fahrenheit scale and another in Celsius scale shall read same at","A. -40°   |   B. 0°   |   C. -273°   |   D. 100°"
88,KEEP,"The image we see in plane mirror is","A. real and thus can be photographed.   |   B. virtual and nearer than the object.   |   C. virtual and is laterally inverted.   |   D. real but cannot be photographed."
89,KEEP,"Which one of the following colours may be obtained by combining green and red colours?","A. Blue   |   B. Magenta   |   C. Pink   |   D. Yellow"
90,KEEP,"Which of the following are the primary colours of light?","A. Yellow, Red and Green   |   B. Blue, Red and Green   |   C. Violet, Red and Yellow   |   D. Indigo, Violet and Green"
91,KEEP,"According to the New Cartesian Sign Convention, which one of the following is correct in respect of the formula 1/f = 1/v + 1/u, where symbols have their usual meanings?","A. It applies only to spherical mirrors.   |   B. It applies only to spherical lenses.   |   C. It applies to spherical mirrors as well as spherical lenses.   |   D. It is an invalid formula."
92,KEEP,"Movement of materials to different parts of cytoplasm and nucleus is generally carried out by","A. Ribosomes.   |   B. Mitochondria.   |   C. Lysosomes.   |   D. Endoplasmic reticulum."
93,KEEP,"In mitochondria, ATP synthesizing chemical reactions take place in the","A. Outer membrane.   |   B. Matrix.   |   C. Inner membrane.   |   D. DNA of mitochondria."
94,KEEP,"Squamous epithelial cells are found in the inner lining of","A. Oesophagus.   |   B. Small intestine.   |   C. Ducts of salivary gland.   |   D. Kidney."
95,KEEP,"Transformation of meristematic cells into specific permanent tissues occurs by the process of","A. Cell differentiation.   |   B. Cell division.   |   C. Cell multiplication.   |   D. Cell regeneration."
96,KEEP,"The gaseous product of a process in plants is a requirement for another vital process that releases energy. Given below are four combinations of the process and product. Identify the correct answer.","A. Respiration and Nitric oxide   |   B. Transpiration and Water vapour   |   C. Photosynthesis and Oxygen   |   D. Germination and Carbon dioxide"
97,KEEP,"In a dicot pot herb, vaseline/vegetable oil was applied on the upper surface of one leaf (Experimental leaf 1) and on the lower surface of another leaf (Experimental leaf 2). Vaseline/Vegetable oil was not applied on the control leaf. The plant was deliberately not watered for several days. Which leaf will dry up last?","A. Experimental leaf 1   |   B. Experimental leaf 2   |   C. Control leaf   |   D. All the leaves will dry up simultaneously"
98,KEEP,"Which one of the following statements is not correct for light rays?","A. Light travels at different speeds in different media.   |   B. Light travels at almost 300 million metres per second in air.   |   C. Light speeds down as it leaves a water surface and enters the air.   |   D. Light speeds up as it leaves a glass surface and enters the air."
99,KEEP,"A glass prism splits white light into different colours. This phenomenon is called dispersion of light by prism. Which one of the following statements is correct?","A. Red light will deviate the most and it is because of the reflection of light.   |   B. Violet light will deviate the most and it is because of the refraction of light.   |   C. Red light will deviate the most and it is because of the refraction of light.   |   D. Violet light will deviate the most and it is because of the reflection of light."
100,KEEP,"A current of 1.0 A is drawn by a filament of an electric bulb for 10 minutes. The amount of electric charge that flows through the circuit is","A. 0.1 C   |   B. 10 C   |   C. 600 C   |   D. 800 C"
101,KEEP,"Which one of the following formulas does not represent electrical power?","A. I²R   |   B. IR²   |   C. VI   |   D. V²/R"
102,KEEP,"The sound created in a big hall persists because of the repeated reflections. The phenomenon is called","A. Reverberation.   |   B. Dispersion.   |   C. Refraction.   |   D. Diffraction."
103,KEEP,"When light is scattered by a molecule and the frequency of the scattered light is changed, this phenomenon is called","A. Rayleigh scattering.   |   B. Raman effect.   |   C. Photoelectric effect.   |   D. Rutherford scattering."
104,KEEP,"What is the mass of a material, whose specific heat capacity is 400 J/(kg °C) for a rise in temperature from 15 °C to 25 °C, when heat received is 20 kJ?","A. 0.1 kg   |   B. 1 kg   |   C. 10 kg   |   D. 5 kg"
105,KEEP,"The specific latent heat of vaporization of a substance is the quantity of heat needed to change unit mass from","A. liquid to vapour with a change of temperature   |   B. liquid to vapour without a change of temperature   |   C. vapour to liquid without a change of temperature   |   D. vapour to liquid with a change of temperature"
106,KEEP,"Which of the following statements correctly explains/explain the existence of a positive force between two electric charges?","A. 1 only   |   B. 2 only   |   C. 1 and 2 only   |   D. 1, 2 and 3"
107,KEEP,"An electric wire of resistance 50 ohm is cut into five equal wires. These wires are then connected in parallel. What is the equivalent resistance of this combination?","A. 2 ohm   |   B. 10 ohm   |   C. 0.5 ohm   |   D. 5 ohm"
108,KEEP,"The electric field lines from an isolated positively charged conducting sphere are","A. tangential to the conducting surface   |   B. at right angles to the conducting surface and towards the centre of the sphere   |   C. at any angle to the conducting surface   |   D. at right angles to the conducting surface and outwards from the centre of the sphere"
109,KEEP,"Which one of the following is not a solution?","A. Alloy   |   B. Milk   |   C. Air   |   D. Sugar"
110,KEEP,"Refining of petroleum is carried out using which one of the following techniques?","A. Evaporation   |   B. Fractional distillation   |   C. Separating funnel   |   D. Sublimation"
111,KEEP,"Which one of the following is a chemical change?","A. Dissolving sugar in water   |   B. Melting of ice   |   C. Crystallization   |   D. Milk turning sour"
112,KEEP,"Which one of the following is the correct molecular formula of ammonium carbonate if the valency of ammonium ion is (+1) and carbonate anion is (-2)?","A. (NH4)2 CO3   |   B. NH4 (CO3)2   |   C. (NH3)2 CO3   |   D. NH4 CO3"
113,KEEP,"Which one of the following is a covalent compound?","A. Calcium oxide   |   B. Sodium nitride   |   C. Silicon carbide   |   D. Zinc sulphide"
114,KEEP,"The mass number of argon is 40. Which one of the following statements is correct?","A. The number of protons in argon is 22.   |   B. The number of neutrons in argon is 18.   |   C. The number of electrons in argon is 18.   |   D. The sum of numbers of protons and electrons in argon is 40."
115,KEEP,"Which one of the following is the correct order of the valencies of elements Ne, Si, N and Mg?","A. Ne < Mg < N < Si   |   B. Si < N < Mg < Ne   |   C. Ne < N < Si < Mg   |   D. Mg < Ne < N < Si"
116,KEEP,"The frequency of an alternating current is 3 Hz. It implies that","A. there are 6 cycles/s   |   B. there are 3 cycles/s   |   C. there are 2 cycles/s   |   D. there is only 1 cycle/s"
117,KEEP,"Which one of the following correctly represents the SI unit of resistivity?","A. Ω   |   B. Ω/m   |   C. Ω cm   |   D. Ω m"
118,KEEP,"What is the current required to light a 60 W incandescent bulb in a domestic supply of 240 V?","A. 0.5 A   |   B. 0.25 A   |   C. 1.0 A   |   D. 5.0 A"
119,KEEP,"The magnetic field produced by a current-carrying straight wire at a point outside the wire depends","A. inversely on the distance from it   |   B. directly on the distance from it   |   C. inversely on short distances and directly on large distances from it   |   D. directly on the distance (at short distances) and inversely on the distance (at long distances) from it"
120,KEEP,"What is the dimension of gravitational constant?","A. ML^3T^-2   |   B. M^-1L^3T^-2   |   C. M^2L^-2T^-2   |   D. M^2L^-1T^-2"
121,KEEP,"A ball is thrown vertically upward with a speed of 40 m/s. The time taken by the ball to reach the maximum height would be approximately","A. 2 s   |   B. 3 s   |   C. 4 s   |   D. 5 s"
122,KEEP,"The time period of a 1 m long pendulum approximates to","A. 6 s   |   B. 4 s   |   C. 2 s   |   D. 1 s"
123,KEEP,"Which of the following statements about living and non-living being is/are correct?","A. 1 only   |   B. 2 only   |   C. Both 1 and 2   |   D. Neither 1 nor 2"
124,KEEP,"Which one of the following plant plastids stores starch, oil and protein granules?","A. Chloroplast   |   B. Leucoplast   |   C. Chromoplast   |   D. Xanthoplast"
125,KEEP,"Which one of the following statements about 'vacuoles' is not correct?","A. In plants, there is a large central vacuole that may occupy 90% of total cell volume.   |   B. In plant cells, vacuoles provide turgidity and rigidity.   |   C. In Amoeba, vacuoles have role in nutrition.   |   D. Vacuoles are absent in animal cells."
126,KEEP,"In aquatic plants, large air sacs give them buoyancy effects. These sacs are surrounded by which one of the following types of tissues?","A. Parenchyma   |   B. Collenchyma   |   C. Sclerenchyma   |   D. Complex tissue"
127,KEEP,"Which one of the following belongs to 'Pisces'?","A. Dogfish   |   B. Jellyfish   |   C. Silverfish   |   D. Starfish"
128,KEEP,"Which one of the following groups is called 'amphibians of plant kingdom'?","A. Bryophytes   |   B. Thallophytes   |   C. Pteridophytes   |   D. Gymnosperms"
129,KEEP,"Which one of the following is caused by a bacterial pathogen?","A. AIDS   |   B. Dengue fever   |   C. COVID-19   |   D. Typhoid fever"
130,KEEP,"The twinkling of a star is due to the atmospheric","A. diffraction of starlight   |   B. reflection of starlight   |   C. refraction of starlight   |   D. dispersion of starlight"
131,KEEP,"A mass M is dragged by a pulley on a horizontal plane by a force anti-parallel to its displacement. The work done in pulling the mass M is","A. zero   |   B. positive   |   C. infinite   |   D. negative"
132,KEEP,"A 5 N force is defined when a mass of 10 kg is accelerated with","A. 5.0 cm/s^2   |   B. 0.5 m/s^2   |   C. 0.5 cm/s^2   |   D. 5.0 m/s^2"
133,KEEP,"The real beginning of western education in India can be dated from","A. the Charter Act of 1813   |   B. the Charter Act of 1793   |   C. the Sarda Act of 1929   |   D. the Macaulay's Minute on Indian Education, 1835"
134,KEEP,"The term 'Industrial Revolution' was first used by","A. J. A. Blanqui   |   B. T. S. Ashton   |   C. Arnold Toynbee   |   D. R. H. Tawney"
135,KEEP,"The Khudai Khidmatgar (Servants of the God) was organized by","A. Mahatma Gandhi   |   B. Khan Abdul Ghaffar Khan   |   C. M. A. Jinnah   |   D. M. M. Malaviya"
136,KEEP,"The Satyashodhak Samaj (Truth-Seeking Society) was set up by","A. Vinoba Bhave   |   B. Jyotiba Phule   |   C. B. R. Ambedkar   |   D. C. Rajagopalachari"
137,KEEP,"The 13th Century text Lekhapaddhati gives us information on which one of the following topics?","A. Art of writing   |   B. Essay writing   |   C. Legal document   |   D. Epigraphic style"
138,KEEP,"The idea of Planning in Independent India was drawn from","A. the Bombay Plan   |   B. the demand made by peasants   |   C. the demand made by workers' unions   |   D. the Gandhian vision of India's future"
139,KEEP,"Which one of the following is likely to be the most prevalent form of weathering in hot-tropical desert areas?","A. Mechanical   |   B. Chemical   |   C. Biological   |   D. Leaching"
140,KEEP,"In India, rigid and stable elevated lands, denuded rocks and series of scarps are the features of which of the following?","A. Northern mountains   |   B. Peninsular plateau   |   C. Northern plains   |   D. Coastal plains"
141,KEEP,"A person had visited a region in India and found trees, such as Khair, Neem, Khejri and Palas. Which one of the following regions is she/he expected to have visited?","A. Malabar Coast   |   B. Garo Hills   |   C. Sunderban Delta   |   D. Desert Region"
142,KEEP,"Consider the following statements: 1. Rocks do not remain in their original form for long and undergo transformation. 2. Transformation of rocks is caused by weathering, erosion and metamorphic action. Which of the statements given above is/are correct?","A. 1 only   |   B. 2 only   |   C. Both 1 and 2   |   D. Neither 1 nor 2"
143,KEEP,"Weathering, mass wasting, erosion and transportation are indicators of which one of the following processes?","A. Denudation   |   B. Endogenetic process   |   C. Diastrophism   |   D. Mountain building"
144,KEEP,"If you want to observe moraines, eskers and outwash plains, which one of the following Union Territories you may have to visit?","A. Andaman and Nicobar Islands   |   B. Lakshadweep   |   C. Puducherry   |   D. Ladakh"
145,KEEP,"The book, Kalila wa Dimna is an Arabic translation of the","A. Hitopadesha   |   B. Panchatantra   |   C. Suryasiddhanta   |   D. Kathasaritsagar"
146,KEEP,"Who among the following initiated the Bhoodan Movement?","A. Ram Prasad Bismil   |   B. Vinoba Bhave   |   C. Mahatma Gandhi   |   D. Kanhu Murmu"
147,KEEP,"Which one of the following rivers in India was not crossed by Alexander and his army?","A. Hyphasis   |   B. Acesines   |   C. Hydraotes   |   D. Hydaspes"
148,KEEP,"Who among the following has described the medieval Indian postal system as of two kinds—the horse-post called 'Uluq' and the foot-post called 'Dawa'?","A. Al-Biruni   |   B. Duarte Barbosa   |   C. Ibn Battuta   |   D. Seydi Ali Reis"
149,KEEP,"At which among the following Harappan sites are fire altars found?","A. Kalibangan   |   B. Harappa   |   C. Mohenjo-daro   |   D. Rakhi Garhi"
