Mathematics | Right triangle with circumcircle and altitude | C:\Users\Trayodh Khandalkar\.gemini\antigravity-ide\scratch\defence-exams-revision\diagrams\Mathematics\Geometry\Right_triangle_with_circumcircle_and_altitude
Mathematics | Prime factorization of 26381 | C:\Users\Trayodh Khandalkar\.gemini\antigravity-ide\scratch\defence-exams-revision\diagrams\Mathematics\Number_Theory\Prime_factorization_of_26381
Mathematics | Finding remainder of 37^1000 divided by 9 | C:\Users\Trayodh Khandalkar\.gemini\antigravity-ide\scratch\defence-exams-revision\diagrams\Mathematics\Modular_Arithmetic\Finding_remainder_of_37_1000_divided_by_9
Mathematics | Solving for numbers given LCM and HCF sum/difference | C:\Users\Trayodh Khandalkar\.gemini\antigravity-ide\scratch\defence-exams-revision\diagrams\Mathematics\Number_Theory\Solving_for_numbers_given_LCM_and_HCF_sum_difference
Mathematics | Calculating additional men needed for work completion | C:\Users\Trayodh Khandalkar\.gemini\antigravity-ide\scratch\defence-exams-revision\diagrams\Mathematics\Work_and_Time\Calculating_additional_men_needed_for_work_completion
Mathematics | Evaluating statements about negative real numbers | C:\Users\Trayodh Khandalkar\.gemini\antigravity-ide\scratch\defence-exams-revision\diagrams\Mathematics\Real_Numbers\Evaluating_statements_about_negative_real_numbers
Mathematics | Factorization of expression and sum of linear factors | C:\Users\Trayodh Khandalkar\.gemini\antigravity-ide\scratch\defence-exams-revision\diagrams\Mathematics\Algebra\Factorization_of_expression_and_sum_of_linear_factors
Mathematics | Quadratic discriminant decision tree | C:\Users\Trayodh Khandalkar\.gemini\antigravity-ide\scratch\defence-exams-revision\diagrams\Mathematics\Algebra\Quadratic_discriminant_decision_tree
Mathematics | LCM of 20, 30, 35 and meeting time of runners | C:\Users\Trayodh Khandalkar\.gemini\antigravity-ide\scratch\defence-exams-revision\diagrams\Mathematics\Number_Theory\LCM_of_20__30__35_and_meeting_time_of_runners
Mathematics | Graph of cos³θ + sec³θ to find minimum | C:\Users\Trayodh Khandalkar\.gemini\antigravity-ide\scratch\defence-exams-revision\diagrams\Mathematics\Trigonometry\Graph_of_cos_____sec___to_find_minimum
Mathematics | Unit‑circle illustration for sin θ = ½ | C:\Users\Trayodh Khandalkar\.gemini\antigravity-ide\scratch\defence-exams-revision\diagrams\Mathematics\Trigonometry\Unit_circle_illustration_for_sin______
Mathematics | Simplification of sin³θ cos³θ expression | C:\Users\Trayodh Khandalkar\.gemini\antigravity-ide\scratch\defence-exams-revision\diagrams\Mathematics\Trigonometry\Simplification_of_sin___cos___expression
Mathematics | Prime factorisation of LCM = 2231 and computation of pq −  | C:\Users\Trayodh Khandalkar\.gemini\antigravity-ide\scratch\defence-exams-revision\diagrams\Mathematics\Number_Theory\Prime_factorisation_of_LCM___2231_and_computation_of_pq___
Mathematics | Ladder and Flagstaff Height Diagram | C:\Users\Trayodh Khandalkar\.gemini\antigravity-ide\scratch\defence-exams-revision\diagrams\Mathematics\Trigonometry\Ladder_and_Flagstaff_Height_Diagram
Mathematics | Airplane Over River Angles of Depression | C:\Users\Trayodh Khandalkar\.gemini\antigravity-ide\scratch\defence-exams-revision\diagrams\Mathematics\Trigonometry\Airplane_Over_River_Angles_of_Depression
Mathematics | Triangle ABC Interior Angles Diagram | C:\Users\Trayodh Khandalkar\.gemini\antigravity-ide\scratch\defence-exams-revision\diagrams\Mathematics\Triangles\Triangle_ABC_Interior_Angles_Diagram
Mathematics | Right‑angled triangle ABC with hypotenuse 20 cm | C:\Users\Trayodh Khandalkar\.gemini\antigravity-ide\scratch\defence-exams-revision\diagrams\Mathematics\Trigonometry\Right_angled_triangle_ABC_with_hypotenuse_20_cm
Mathematics | Composite solid: cone on hemisphere | C:\Users\Trayodh Khandalkar\.gemini\antigravity-ide\scratch\defence-exams-revision\diagrams\Mathematics\Geometry\Composite_solid__cone_on_hemisphere
Mathematics | Solid inside cylinder – water displacement | C:\Users\Trayodh Khandalkar\.gemini\antigravity-ide\scratch\defence-exams-revision\diagrams\Mathematics\Geometry\Solid_inside_cylinder___water_displacement
Mathematics | Circle radius 2.1 cm with chord at 120° | C:\Users\Trayodh Khandalkar\.gemini\antigravity-ide\scratch\defence-exams-revision\diagrams\Mathematics\Geometry\Circle_radius_2_1_cm_with_chord_at_120_
Mathematics | Triangle ABC with three externally tangent circles | C:\Users\Trayodh Khandalkar\.gemini\antigravity-ide\scratch\defence-exams-revision\diagrams\Mathematics\Geometry\Triangle_ABC_with_three_externally_tangent_circles
Mathematics | Altitude from vertex A to side BC in triangle ABC | C:\Users\Trayodh Khandalkar\.gemini\antigravity-ide\scratch\defence-exams-revision\diagrams\Mathematics\Geometry\Altitude_from_vertex_A_to_side_BC_in_triangle_ABC
Mathematics | Sectors P, Q, R at vertices of triangle ABC | C:\Users\Trayodh Khandalkar\.gemini\antigravity-ide\scratch\defence-exams-revision\diagrams\Mathematics\Geometry\Sectors_P__Q__R_at_vertices_of_triangle_ABC
Mathematics | Isosceles triangle ABC with point D on BC | C:\Users\Trayodh Khandalkar\.gemini\antigravity-ide\scratch\defence-exams-revision\diagrams\Mathematics\Triangles\Isosceles_triangle_ABC_with_point_D_on_BC
Mathematics | Altitude from A to BC in triangle ABC | C:\Users\Trayodh Khandalkar\.gemini\antigravity-ide\scratch\defence-exams-revision\diagrams\Mathematics\Triangles\Altitude_from_A_to_BC_in_triangle_ABC
Mathematics | Triangle ABC with midpoints P and Q and quadrilateral ABBQ | C:\Users\Trayodh Khandalkar\.gemini\antigravity-ide\scratch\defence-exams-revision\diagrams\Mathematics\Triangles\Triangle_ABC_with_midpoints_P_and_Q_and_quadrilateral_ABBQ
Mathematics | Circle with diameter AB, perpendicular radius OP, and point Q on arc PB | C:\Users\Trayodh Khandalkar\.gemini\antigravity-ide\scratch\defence-exams-revision\diagrams\Mathematics\Circles\Circle_with_diameter_AB__perpendicular_radius_OP__and_point_Q_on_arc_PB
Mathematics | Algebraic manipulation to find a and t | C:\Users\Trayodh Khandalkar\.gemini\antigravity-ide\scratch\defence-exams-revision\diagrams\Mathematics\Algebra\Algebraic_manipulation_to_find_a_and_t
Mathematics | Evaluating xyz expression with given k | C:\Users\Trayodh Khandalkar\.gemini\antigravity-ide\scratch\defence-exams-revision\diagrams\Mathematics\Algebra\Evaluating_xyz_expression_with_given_k
Mathematics | Validity of given inequalities | C:\Users\Trayodh Khandalkar\.gemini\antigravity-ide\scratch\defence-exams-revision\diagrams\Mathematics\Inequalities\Validity_of_given_inequalities
Mathematics | Work‑time problem to find n | C:\Users\Trayodh Khandalkar\.gemini\antigravity-ide\scratch\defence-exams-revision\diagrams\Mathematics\Work_and_Time\Work_time_problem_to_find_n
Mathematics | Solution flow for finding n | C:\Users\Trayodh Khandalkar\.gemini\antigravity-ide\scratch\defence-exams-revision\diagrams\Mathematics\Algebra\Solution_flow_for_finding_n
Mathematics | Rectangular garden with three‑sided fence | C:\Users\Trayodh Khandalkar\.gemini\antigravity-ide\scratch\defence-exams-revision\diagrams\Mathematics\Geometry\Rectangular_garden_with_three_sided_fence
Economics | Employee distribution pie charts for 2019 and 2020 | C:\Users\Trayodh Khandalkar\.gemini\antigravity-ide\scratch\defence-exams-revision\diagrams\Economics\Statistics\Employee_distribution_pie_charts_for_2019_and_2020
Economics | Car production bar chart (2014‑2018) | C:\Users\Trayodh Khandalkar\.gemini\antigravity-ide\scratch\defence-exams-revision\diagrams\Economics\Data_Interpretation\Car_production_bar_chart__2014_2018_
Mathematics | Car Production Bar Chart (2014-2018) | C:\Users\Trayodh Khandalkar\.gemini\antigravity-ide\scratch\defence-exams-revision\diagrams\Mathematics\Data_Interpretation\Car_Production_Bar_Chart__2014_2018_
Mathematics | Company Percentage Increase Bar Chart | C:\Users\Trayodh Khandalkar\.gemini\antigravity-ide\scratch\defence-exams-revision\diagrams\Mathematics\Data_Interpretation\Company_Percentage_Increase_Bar_Chart
Mathematics | Sequences of Five Consecutive Integers | C:\Users\Trayodh Khandalkar\.gemini\antigravity-ide\scratch\defence-exams-revision\diagrams\Mathematics\Number_Theory\Sequences_of_Five_Consecutive_Integers
Mathematics | Quadratic Equation Solution Flowchart | C:\Users\Trayodh Khandalkar\.gemini\antigravity-ide\scratch\defence-exams-revision\diagrams\Mathematics\Quadratic_Equations\Quadratic_Equation_Solution_Flowchart
Mathematics | Two-Digit Number Digit Swap Illustration | C:\Users\Trayodh Khandalkar\.gemini\antigravity-ide\scratch\defence-exams-revision\diagrams\Mathematics\Number_Theory\Two_Digit_Number_Digit_Swap_Illustration
Physics | Boat and Stream Speed Diagram | C:\Users\Trayodh Khandalkar\.gemini\antigravity-ide\scratch\defence-exams-revision\diagrams\Physics\Relative_Motion\Boat_and_Stream_Speed_Diagram
Mathematics | Father and Children Ages | C:\Users\Trayodh Khandalkar\.gemini\antigravity-ide\scratch\defence-exams-revision\diagrams\Mathematics\Age_Problems\Father_and_Children_Ages
Mathematics | Fraction Numerator‑Denominator Relationship | C:\Users\Trayodh Khandalkar\.gemini\antigravity-ide\scratch\defence-exams-revision\diagrams\Mathematics\Fractions\Fraction_Numerator_Denominator_Relationship
Mathematics | Clock Hand Coincidence Between 3 and 4 O’clock | C:\Users\Trayodh Khandalkar\.gemini\antigravity-ide\scratch\defence-exams-revision\diagrams\Mathematics\Clock_and_Angle_Problems\Clock_Hand_Coincidence_Between_3_and_4_O_clock
Mathematics | Compound Interest Doubling and Quadrupling | C:\Users\Trayodh Khandalkar\.gemini\antigravity-ide\scratch\defence-exams-revision\diagrams\Mathematics\Compound_Interest\Compound_Interest_Doubling_and_Quadrupling
Mathematics | Direct and Inverse Variation of p | C:\Users\Trayodh Khandalkar\.gemini\antigravity-ide\scratch\defence-exams-revision\diagrams\Mathematics\Direct_and_Inverse_Variation\Direct_and_Inverse_Variation_of_p
Mathematics | Piecewise Journey Speed Problem | C:\Users\Trayodh Khandalkar\.gemini\antigravity-ide\scratch\defence-exams-revision\diagrams\Mathematics\Average_Speed_and_Distance\Piecewise_Journey_Speed_Problem
Mathematics | Combined Work Rate of Sheela and Meena | C:\Users\Trayodh Khandalkar\.gemini\antigravity-ide\scratch\defence-exams-revision\diagrams\Mathematics\Work_and_Time\Combined_Work_Rate_of_Sheela_and_Meena
Mathematics | Three-part journey distance diagram | C:\Users\Trayodh Khandalkar\.gemini\antigravity-ide\scratch\defence-exams-revision\diagrams\Mathematics\Word_Problems\Three_part_journey_distance_diagram
English | Sentence ordering for passage 11 | C:\Users\Trayodh Khandalkar\.gemini\antigravity-ide\scratch\defence-exams-revision\diagrams\English\Comprehension\Sentence_ordering_for_passage_11
English | Sentence ordering for passage 12 | C:\Users\Trayodh Khandalkar\.gemini\antigravity-ide\scratch\defence-exams-revision\diagrams\English\Comprehension\Sentence_ordering_for_passage_12
Environment | Q13 Sequence of statements on taming science | C:\Users\Trayodh Khandalkar\.gemini\antigravity-ide\scratch\defence-exams-revision\diagrams\Environment\Science_and_Technology\Q13_Sequence_of_statements_on_taming_science
Environment | Q14 Sequence of statements on taming atomic energy | C:\Users\Trayodh Khandalkar\.gemini\antigravity-ide\scratch\defence-exams-revision\diagrams\Environment\Science_and_Technology\Q14_Sequence_of_statements_on_taming_atomic_energy
Environment | Q15 Sequence of statements on disaster vulnerability in Uttarakhand | C:\Users\Trayodh Khandalkar\.gemini\antigravity-ide\scratch\defence-exams-revision\diagrams\Environment\Disaster_Management\Q15_Sequence_of_statements_on_disaster_vulnerability_in_Uttarakhand
Polity | Q16 Sequence of statements on performance minutes | C:\Users\Trayodh Khandalkar\.gemini\antigravity-ide\scratch\defence-exams-revision\diagrams\Polity\Critical_Thinking\Q16_Sequence_of_statements_on_performance_minutes
Geography | Q17 Sequence of statements on River Ganga importance | C:\Users\Trayodh Khandalkar\.gemini\antigravity-ide\scratch\defence-exams-revision\diagrams\Geography\River_Ganga\Q17_Sequence_of_statements_on_River_Ganga_importance
History | Q18 Sequence of statements on Republic Day | C:\Users\Trayodh Khandalkar\.gemini\antigravity-ide\scratch\defence-exams-revision\diagrams\History\Republic_Day_Celebrations\Q18_Sequence_of_statements_on_Republic_Day
Polity | Q19 Sequence of statements on hobbies | C:\Users\Trayodh Khandalkar\.gemini\antigravity-ide\scratch\defence-exams-revision\diagrams\Polity\Leisure_and_Hobbies\Q19_Sequence_of_statements_on_hobbies
Environment | Q20 Sequence of statements on ideal village life | C:\Users\Trayodh Khandalkar\.gemini\antigravity-ide\scratch\defence-exams-revision\diagrams\Environment\Rural_Development\Q20_Sequence_of_statements_on_ideal_village_life
Geography | Uttarakhand disaster vulnerability map | C:\Users\Trayodh Khandalkar\.gemini\antigravity-ide\scratch\defence-exams-revision\diagrams\Geography\Disaster_Management\Uttarakhand_disaster_vulnerability_map
Geography | River Ganga basin map | C:\Users\Trayodh Khandalkar\.gemini\antigravity-ide\scratch\defence-exams-revision\diagrams\Geography\River_Ganga\River_Ganga_basin_map
History | Republic Day parade illustration at India Gate | C:\Users\Trayodh Khandalkar\.gemini\antigravity-ide\scratch\defence-exams-revision\diagrams\History\Republic_Day_Celebrations\Republic_Day_parade_illustration_at_India_Gate
Environment | Ideal village landscape illustration | C:\Users\Trayodh Khandalkar\.gemini\antigravity-ide\scratch\defence-exams-revision\diagrams\Environment\Rural_Development\Ideal_village_landscape_illustration
Polity | Parts of Speech Identification Decision Tree | C:\Users\Trayodh Khandalkar\.gemini\antigravity-ide\scratch\defence-exams-revision\diagrams\Polity\English_Grammar\Parts_of_Speech_Identification_Decision_Tree
Polity | Intensifier Classification Mind Map | C:\Users\Trayodh Khandalkar\.gemini\antigravity-ide\scratch\defence-exams-revision\diagrams\Polity\English_Grammar\Intensifier_Classification_Mind_Map
History | Jumbled Sentence 91 | C:\Users\Trayodh Khandalkar\.gemini\antigravity-ide\scratch\defence-exams-revision\diagrams\History\English_Grammar\Jumbled_Sentence_91
History | Jumbled Sentence 92 | C:\Users\Trayodh Khandalkar\.gemini\antigravity-ide\scratch\defence-exams-revision\diagrams\History\English_Grammar\Jumbled_Sentence_92
History | Jumbled Sentence 93 | C:\Users\Trayodh Khandalkar\.gemini\antigravity-ide\scratch\defence-exams-revision\diagrams\History\English_Grammar\Jumbled_Sentence_93
History | Jumbled Sentence 94 | C:\Users\Trayodh Khandalkar\.gemini\antigravity-ide\scratch\defence-exams-revision\diagrams\History\English_Grammar\Jumbled_Sentence_94
History | Jumbled Sentence 95 | C:\Users\Trayodh Khandalkar\.gemini\antigravity-ide\scratch\defence-exams-revision\diagrams\History\English_Grammar\Jumbled_Sentence_95
History | Jumbled Sentence 96 | C:\Users\Trayodh Khandalkar\.gemini\antigravity-ide\scratch\defence-exams-revision\diagrams\History\English_Grammar\Jumbled_Sentence_96
History | Jumbled Sentence 97 | C:\Users\Trayodh Khandalkar\.gemini\antigravity-ide\scratch\defence-exams-revision\diagrams\History\English_Grammar\Jumbled_Sentence_97
History | Jumbled Sentence 99 | C:\Users\Trayodh Khandalkar\.gemini\antigravity-ide\scratch\defence-exams-revision\diagrams\History\English_Grammar\Jumbled_Sentence_99
Polity | Sequence ordering of letters (R Q P S) | C:\Users\Trayodh Khandalkar\.gemini\antigravity-ide\scratch\defence-exams-revision\diagrams\Polity\Logical_Reasoning\Sequence_ordering_of_letters__R_Q_P_S_
Polity | Mind map of passage on hunger, anxiety, and progress | C:\Users\Trayodh Khandalkar\.gemini\antigravity-ide\scratch\defence-exams-revision\diagrams\Polity\Comprehension\Mind_map_of_passage_on_hunger__anxiety__and_progress
History | Timeline of winter 1946‑47 referenced in passage | C:\Users\Trayodh Khandalkar\.gemini\antigravity-ide\scratch\defence-exams-revision\diagrams\History\Historical_Context\Timeline_of_winter_1946_47_referenced_in_passage
Economics | Pandemic Impact Timeline | C:\Users\Trayodh Khandalkar\.gemini\antigravity-ide\scratch\defence-exams-revision\diagrams\Economics\Consumer_Behaviour_Post_Pandemic\Pandemic_Impact_Timeline
Economics | Pent-up Demand Flowchart | C:\Users\Trayodh Khandalkar\.gemini\antigravity-ide\scratch\defence-exams-revision\diagrams\Economics\Pent_up_Demand\Pent_up_Demand_Flowchart
Economics | Survey Findings Mind Map | C:\Users\Trayodh Khandalkar\.gemini\antigravity-ide\scratch\defence-exams-revision\diagrams\Economics\Consumer_Survey_Insights\Survey_Findings_Mind_Map
Geography | Location of Taxila | C:\Users\Trayodh Khandalkar\.gemini\antigravity-ide\scratch\defence-exams-revision\diagrams\Geography\Ancient_Indian_Cities\Location_of_Taxila
History | Samudragupta’s Expeditions | C:\Users\Trayodh Khandalkar\.gemini\antigravity-ide\scratch\defence-exams-revision\diagrams\History\Samudragupta_s_Reign\Samudragupta_s_Expeditions
Economics | Demand Curve Shift Diagram | C:\Users\Trayodh Khandalkar\.gemini\antigravity-ide\scratch\defence-exams-revision\diagrams\Economics\Demand_Analysis\Demand_Curve_Shift_Diagram
Economics | Survey Response Bar Chart | C:\Users\Trayodh Khandalkar\.gemini\antigravity-ide\scratch\defence-exams-revision\diagrams\Economics\Survey_Statistics\Survey_Response_Bar_Chart
History | Historical Events Timeline | C:\Users\Trayodh Khandalkar\.gemini\antigravity-ide\scratch\defence-exams-revision\diagrams\History\Key_Indian_Historical_Milestones\Historical_Events_Timeline
Economics | Opportunity Cost Decision Tree | C:\Users\Trayodh Khandalkar\.gemini\antigravity-ide\scratch\defence-exams-revision\diagrams\Economics\Opportunity_Cost\Opportunity_Cost_Decision_Tree
Economics | Education Spending Trend (2014‑2019) | C:\Users\Trayodh Khandalkar\.gemini\antigravity-ide\scratch\defence-exams-revision\diagrams\Economics\Social_Sector_Expenditure\Education_Spending_Trend__2014_2019_
Economics | HDI Component Improvements for India | C:\Users\Trayodh Khandalkar\.gemini\antigravity-ide\scratch\defence-exams-revision\diagrams\Economics\Human_Development_Index\HDI_Component_Improvements_for_India
Economics | Pure Voluntary Exchange | C:\Users\Trayodh Khandalkar\.gemini\antigravity-ide\scratch\defence-exams-revision\diagrams\Economics\Voluntary_Exchange\Pure_Voluntary_Exchange
Polity | Separation of Judiciary from Executive | C:\Users\Trayodh Khandalkar\.gemini\antigravity-ide\scratch\defence-exams-revision\diagrams\Polity\Separation_of_Powers\Separation_of_Judiciary_from_Executive
Polity | Parliamentary Language Permission Flow | C:\Users\Trayodh Khandalkar\.gemini\antigravity-ide\scratch\defence-exams-revision\diagrams\Polity\Parliamentary_Procedure\Parliamentary_Language_Permission_Flow
Polity | Definition of ‘State’ under Article 12 | C:\Users\Trayodh Khandalkar\.gemini\antigravity-ide\scratch\defence-exams-revision\diagrams\Polity\Constitutional_Definitions\Definition_of__State__under_Article_12
Polity | Rajya Sabha Seats by State | C:\Users\Trayodh Khandalkar\.gemini\antigravity-ide\scratch\defence-exams-revision\diagrams\Polity\Rajya_Sabha_Composition\Rajya_Sabha_Seats_by_State
Polity | Reservation of Seats for Women in Panchayats | C:\Users\Trayodh Khandalkar\.gemini\antigravity-ide\scratch\defence-exams-revision\diagrams\Polity\Panchayat_Reservations\Reservation_of_Seats_for_Women_in_Panchayats
History | Moving of Ashoka Pillar at Topra | C:\Users\Trayodh Khandalkar\.gemini\antigravity-ide\scratch\defence-exams-revision\diagrams\History\Ashokan_Pillars\Moving_of_Ashoka_Pillar_at_Topra
Geography | Map of Topra and Delhi Ashoka Pillar route | C:\Users\Trayodh Khandalkar\.gemini\antigravity-ide\scratch\defence-exams-revision\diagrams\Geography\Historical_sites\Map_of_Topra_and_Delhi_Ashoka_Pillar_route
History | Srirangam Vaishnavite Temple | C:\Users\Trayodh Khandalkar\.gemini\antigravity-ide\scratch\defence-exams-revision\diagrams\History\Temple_Architecture\Srirangam_Vaishnavite_Temple
History | Portrait of Shaikh Muinuddin Chishti | C:\Users\Trayodh Khandalkar\.gemini\antigravity-ide\scratch\defence-exams-revision\diagrams\History\Sufi_Saints\Portrait_of_Shaikh_Muinuddin_Chishti
Polity | Moderates' political methods | C:\Users\Trayodh Khandalkar\.gemini\antigravity-ide\scratch\defence-exams-revision\diagrams\Polity\National_Movement\Moderates__political_methods
Geography | Location of Chisht town | C:\Users\Trayodh Khandalkar\.gemini\antigravity-ide\scratch\defence-exams-revision\diagrams\Geography\Sufi_Heritage\Location_of_Chisht_town
History | Sikh congregational worship (Sangat) | C:\Users\Trayodh Khandalkar\.gemini\antigravity-ide\scratch\defence-exams-revision\diagrams\History\Sikh_Practices\Sikh_congregational_worship__Sangat_
Environment | Seismic Hazard Zones of India | C:\Users\Trayodh Khandalkar\.gemini\antigravity-ide\scratch\defence-exams-revision\diagrams\Environment\Earthquake_Zones\Seismic_Hazard_Zones_of_India
Environment | Drought-prone Kutch region | C:\Users\Trayodh Khandalkar\.gemini\antigravity-ide\scratch\defence-exams-revision\diagrams\Environment\Drought_Management\Drought_prone_Kutch_region
Environment | Blizzard risk in Arunachal Pradesh | C:\Users\Trayodh Khandalkar\.gemini\antigravity-ide\scratch\defence-exams-revision\diagrams\Environment\Cold_Weather_Hazards\Blizzard_risk_in_Arunachal_Pradesh
Geography | Plantation agriculture states in India | C:\Users\Trayodh Khandalkar\.gemini\antigravity-ide\scratch\defence-exams-revision\diagrams\Geography\Agricultural_Zones\Plantation_agriculture_states_in_India
History | Timeline of Ashoka Pillar relocation | C:\Users\Trayodh Khandalkar\.gemini\antigravity-ide\scratch\defence-exams-revision\diagrams\History\Ashoka_Pillar_History\Timeline_of_Ashoka_Pillar_relocation
Geography | Atal Tunnel Connectivity Map | C:\Users\Trayodh Khandalkar\.gemini\antigravity-ide\scratch\defence-exams-revision\diagrams\Geography\Himalayan_Infrastructure\Atal_Tunnel_Connectivity_Map
Geography | Gulf of Mannar Biosphere Reserve Map | C:\Users\Trayodh Khandalkar\.gemini\antigravity-ide\scratch\defence-exams-revision\diagrams\Geography\Marine_Biosphere_Reserves\Gulf_of_Mannar_Biosphere_Reserve_Map
Polity | Emergency Proclamation Decision Tree | C:\Users\Trayodh Khandalkar\.gemini\antigravity-ide\scratch\defence-exams-revision\diagrams\Polity\Emergency_Provisions\Emergency_Proclamation_Decision_Tree
Mathematics | Right‑angled triangle with circumcircle and altitude | C:\Users\Trayodh Khandalkar\.gemini\antigravity-ide\scratch\defence-exams-revision\diagrams\Mathematics\Circle_Geometry\Right_angled_triangle_with_circumcircle_and_altitude
Mathematics | Two externally touching circles with given total area and centre distance | C:\Users\Trayodh Khandalkar\.gemini\antigravity-ide\scratch\defence-exams-revision\diagrams\Mathematics\Circle_Geometry\Two_externally_touching_circles_with_given_total_area_and_centre_distance
Mathematics | Rhombus with diagonal 48 cm | C:\Users\Trayodh Khandalkar\.gemini\antigravity-ide\scratch\defence-exams-revision\diagrams\Mathematics\Geometry\Rhombus_with_diagonal_48_cm
Mathematics | Clock minute hand sector | C:\Users\Trayodh Khandalkar\.gemini\antigravity-ide\scratch\defence-exams-revision\diagrams\Mathematics\Geometry\Clock_minute_hand_sector
Mathematics | Cuboid diagonal (longest rod) | C:\Users\Trayodh Khandalkar\.gemini\antigravity-ide\scratch\defence-exams-revision\diagrams\Mathematics\Geometry\Cuboid_diagonal__longest_rod_
Mathematics | Cone on hemisphere solid | C:\Users\Trayodh Khandalkar\.gemini\antigravity-ide\scratch\defence-exams-revision\diagrams\Mathematics\Geometry\Cone_on_hemisphere_solid
Mathematics | Cube surmounted by hemisphere | C:\Users\Trayodh Khandalkar\.gemini\antigravity-ide\scratch\defence-exams-revision\diagrams\Mathematics\Geometry\Cube_surmounted_by_hemisphere
Mathematics | Silver coins melted into cuboid | C:\Users\Trayodh Khandalkar\.gemini\antigravity-ide\scratch\defence-exams-revision\diagrams\Mathematics\Geometry\Silver_coins_melted_into_cuboid
Mathematics | Frustum slant height calculation | C:\Users\Trayodh Khandalkar\.gemini\antigravity-ide\scratch\defence-exams-revision\diagrams\Mathematics\Geometry\Frustum_slant_height_calculation
Mathematics | Prime factor tree of 26381 | C:\Users\Trayodh Khandalkar\.gemini\antigravity-ide\scratch\defence-exams-revision\diagrams\Mathematics\Number_Theory\Prime_factor_tree_of_26381
Mathematics | Determining real roots of quadratic equations | C:\Users\Trayodh Khandalkar\.gemini\antigravity-ide\scratch\defence-exams-revision\diagrams\Mathematics\Quadratic_Equations\Determining_real_roots_of_quadratic_equations
Mathematics | Prime factorization and LCM of 20, 30, 35 | C:\Users\Trayodh Khandalkar\.gemini\antigravity-ide\scratch\defence-exams-revision\diagrams\Mathematics\Number_Theory\Prime_factorization_and_LCM_of_20__30__35
Mathematics | Unit circle for θ = 30° | C:\Users\Trayodh Khandalkar\.gemini\antigravity-ide\scratch\defence-exams-revision\diagrams\Mathematics\Trigonometry\Unit_circle_for_____30_
Mathematics | Root transformation to a new quadratic equation | C:\Users\Trayodh Khandalkar\.gemini\antigravity-ide\scratch\defence-exams-revision\diagrams\Mathematics\Quadratic_Equations\Root_transformation_to_a_new_quadratic_equation
